channel,playlist,language,video_count,playlist_id
Numberbender,Polynomial Functions,English/Bilingual,12,PLIQh59u-CUotkO7w0V5czHSphhDTQ0Agj
Numberbender,Linear Algebra,English/Bilingual,16,PLIQh59u-CUovL2b0RRYjGls0ihkPZ9cam
Numberbender,Function Operations,English/Bilingual,6,PLIQh59u-CUosEh3waOKR1z38tPnD8jM6X
Numberbender,Polynomial Operations,English/Bilingual,4,PLIQh59u-CUotr-9AkK6h645VEqg5Wjm2r
Numberbender,Exponents,English/Bilingual,7,PLIQh59u-CUot5xehTirCMNFEnmPZJYB1c
Numberbender,Linear Systems (FILIPINO),Filipino,10,PLIQh59u-CUotE-j6hl_KepwW0Plg3346Y
Numberbender,Linear Inequality (Filipino),Filipino,5,PLIQh59u-CUotG-pVz0vvdAbxqeFG-Rnym
Numberbender,Solving Linear Equation (Filipino),Filipino,7,PLIQh59u-CUotl2bhO7R29Wlk1mOOKDGwL
Numberbender,Cartesian Coordinate (x-y plane),English/Bilingual,5,PLIQh59u-CUosj1dZ9a8l1bRQtWC4xvkPn
Numberbender,Algebra Fundamentals (Filipino),Filipino,29,PLIQh59u-CUosfrIhVsEqcmhRbAxjwr05n
Numberbender,MATH203,English/Bilingual,13,PLIQh59u-CUouwoaWffpT0yetM9Tvz2tu0
Numberbender,Why I Keep Coming Back to New York,Filipino,5,PLIQh59u-CUovxdpiS5dxI1yqV5fGSi39l
Numberbender,5 Tips ni Numberbender,Filipino,18,PLIQh59u-CUotyRAyPsuOyHi0vU8i7rPOx
Numberbender,News Interviews and Features,English/Bilingual,12,PLIQh59u-CUotJb6EZnsKb6hH1apTUO-a9
Numberbender,Discrete Math (ENGLISH),English,8,PLIQh59u-CUottFfEo8QEWy7a1_yitOTHk
Numberbender,"Discrete Math (FILIPINO): symbolic logic, truth table, compound statements, at set notations",Filipino,9,PLIQh59u-CUot_hBGW7_nYplCMUgkdtFTA
Numberbender,Geometry Lessons  (ENG|FIL),Filipino,48,PLIQh59u-CUotEVCMuIVmEmBxI5JSByLgX
Numberbender,Personally Peter,English/Bilingual,88,PLIQh59u-CUov5iCLVSXEy6Eh2fkw0YHWN
Numberbender,Precalculus Lessons (FILIPINO),Filipino,61,PLIQh59u-CUosHtZ7JtgYoWXoqn8xHTPvd
Numberbender,Math Flipped Classroom — Free Lessons + Worksheets  | Numberbender,English/Bilingual,69,PLIQh59u-CUou7hMWiC_e9zSeHY6ovxFt5
Numberbender,AP TEST FRQ Review: STATISTICS,English/Bilingual,6,PLIQh59u-CUosniT1jxpeIlDPDxijCZ1N3
Numberbender,Trigonometry  Lessons (ENGLISH),English,27,PLIQh59u-CUou6thrAuZg6Exz3AdPTo-Iu
Numberbender,"Analytic Geometry Lessons (FILIPINO): parabola, ellipse, hyperbola, at circle",Filipino,11,PLIQh59u-CUos_7rfqtg9tLp_GgJubvBHr
Numberbender,Linear Algebra Lessons (ENGLISH),English,10,PLIQh59u-CUourwjh37hrLYuX6oqntpJVF
Numberbender,FRQ AP Calculus AB,English/Bilingual,62,PLIQh59u-CUosMUKMezWjQeBudnUgsfWYw
Numberbender,How to Study Math Online,English/Bilingual,32,PLIQh59u-CUosYH-3SJaptvV4qrh0bjsNy
Numberbender,Precalculus/Trigonometry Lessons (ENGLISH),English,72,PLIQh59u-CUos974OGEOXNskpmtQ-5SYI0
Numberbender,Calculus Lessons (ENGLISH),English,93,PLIQh59u-CUov_ibDP0sJ7YVHQEQ4_1ra_
Numberbender,Statistics Help and Tutorials (ENGLISH),English,76,PLIQh59u-CUot6i3GD-mghy8-ZJsV3UnJo
Numberbender,Algebra Lessons (ENGLISH),English,130,PLIQh59u-CUouYxpCF2ypKrf6h73YDl09k
Numberbender,Trigonometry Lessons (FILIPINO),Filipino,30,PLIQh59u-CUosjeemNAeffIiMnLk9ZVQDt
Numberbender,Calculus Lessons (FILIPINO),Filipino,76,PLIQh59u-CUotO-TRuUe0iJBL-y2bsfLmk
Numberbender,Statistics Lessons (FILIPINO),Filipino,68,PLIQh59u-CUovE7tK4FlLJNgcuTIMo0mlQ
Numberbender,Algebra Lessons (FILIPINO),Filipino,148,PLIQh59u-CUouhqTtby330OGpTGOhu3I4Q
Numberbender English Only,VVC,English,2,PLmnIr_qavptQUwbpFEN1ay-LiVM2y-ARh
Numberbender English Only,POLYGONS,English,4,PLmnIr_qavptScZpDX9hW3GrlJKOYvx-Fq
Numberbender English Only,TRIANGLE CONGRUENCE,English,13,PLmnIr_qavptQGakZKaqUjnj2K-46_CsSg
Numberbender English Only,Reasoning,English,8,PLmnIr_qavptQFn8sJArNjqlvRJHQj7cmQ
Numberbender English Only,Circles,English,4,PLmnIr_qavptQ5GJl2gQ95WRInwhG4kcR6
Numberbender English Only,SIMILARITY,English,3,PLmnIr_qavptQWKBiK45ip1mb7Z33pUrYM
Numberbender English Only,Quadrilaterals,English,12,PLmnIr_qavptR9Yb-GQp8kGEAJzTqzo2Pq
Numberbender English Only,Variation and Numerical Relationship,English,4,PLmnIr_qavptT1VLa2uGkvv0MMP0ac_ALd
Numberbender English Only,Shorts,English,10,PLmnIr_qavptQmM5hT42kqueFJ8YiHblXk
Numberbender English Only,Factoring Techniques,Filipino,0,PLmnIr_qavptTLWNp-dMhSMiJ7FR4kcXaw
Numberbender English Only,BCC Announcements,English,62,PLmnIr_qavptRqCO60q71Q2XMWomfw2LZf
